,energy_100g,fat_100g,saturated-fat_100g,sugars_100g,salt_100g,sodium_100g,fruits-vegetables-nuts_100g,fruits-vegetables-nuts-estimate_100g,fiber_100g,proteins_100g,fruits-vegetables-nuts-filling-estimate
en:artisanal-spirits,0.0,0.0,0.0,0.0,17.272000000000002,6.8,,,,0.0,
en:uht-milks,193.0,1.6,1.0,4.8,0.11,0.0433070866141732,0.0,0.0,0.0,3.2,0.0
en:madeleines,1866.0,22.15,3.3,28.0,0.864,0.34015748031496046,0.0,7.0,1.3,5.7,5.5
en:canned-sardines,929.0,15.0,3.4,0.060000000000000005,1.0,0.393700787401575,0.0,0.0,0.0,21.3,0.0
en:bird-eggs,602.0,10.0,2.7,0.5,0.32,0.125984251968504,0.0,0.0,0.0,12.5,0.0
en:mayonnaises,2749.0,72.0,6.0,1.3,1.37,0.5379999999999999,0.0,0.0,0.1,1.2,0.0
en:semi-skimmed-milks,192.0,1.6,1.0,4.8,0.11,0.0433070866141732,0.0,0.0,0.0,3.2,0.0
en:fermented-drinks,301.0,1.5,1.0,11.0,0.1,0.0393700787401575,3.65,5.0,0.1,2.8,5.0
en:tabbouleh,724.0,6.5,0.7,3.1,0.97,0.38188976377952794,23.0,23.0,2.0,4.3,23.0
en:cooking-helpers,1529.0,4.8,2.0,30.0,0.24,0.09448818897637801,0.0,45.0,1.5,4.1,42.95
fr:fromages-blancs,367.0,3.2,2.1,4.4,0.1,0.0393700787401575,5.55,6.4,0.0,6.6,6.15
en:cereal-bars,1711.0,12.05,4.7,28.0,0.4032,0.158740157480315,21.0,12.0,4.6,6.3,12.0
en:eggs,602.0,10.0,2.7,0.67,0.31496,0.124,0.0,0.0,0.0,12.44,0.0
en:ravioli,712.5,4.3,1.4,2.4,1.0,0.393700787401575,3.6,18.3,1.7,7.0,17.95
en:dry-biscuits,1891.0,16.0,5.4,34.0,0.4,0.15748031496063,0.0,11.5,2.4,7.1,10.0
en:hazelnut-spreads,2274.0,32.0,8.2,51.0,0.1,0.0393700787401575,28.0,16.0,3.6,6.3,16.0
en:iced-teas,84.0,0.0,0.0,4.95,0.029972000000000002,0.0118,4.0,0.5,0.0,0.0,0.5
en:frozen-pizzas,951.0,8.5,3.8,3.3,1.2,0.47244094488189003,16.7,18.36,1.9249999999999998,9.6,18.23
en:goat-cheeses,1188.0,23.0,16.4,1.0,1.5,0.590551181102362,0.0,0.0,0.0,18.0,0.0
en:concentrated-fruit-juices,187.0,0.1,0.0,9.850000000000001,0.0,0.0,100.0,100.0,0.1,0.5,100.0
en:carbonated-waters,0.0,0.0,0.0,0.0,0.031902,0.01255,0.0,0.0,0.0,0.0,0.0
en:long-grain-rices,1477.0,0.8,0.2,0.3,0.01,0.00393700787401575,,,1.4,7.4,
en:sugars,1674.0,0.0,0.0,99.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
en:fermented-milk-drinks,301.0,1.5,1.0,11.0,0.1,0.0393700787401575,3.65,5.0,0.095,2.8,5.0
en:crepes-and-galettes,1142.0,8.2,2.7,18.0,1.0,0.393700787401575,,16.0,1.6,6.7,16.0
en:strawberry-jams,967.0,0.2,0.03,53.0,0.01,0.00393700787401575,50.0,55.0,1.1,0.5,55.0
en:dried-meals,460.0,2.645,0.8,2.2,0.9,0.3543307086614171,41.0,22.0,0.9,3.25,27.95
en:craft-beers,0.0,0.0,0.0,0.0,17.272000000000002,6.8,,,,0.0,
en:sorbets,515.0,0.2,0.01,25.0,0.02,0.0078740157480315,57.0,46.0,0.8,0.5,46.0
en:dessert-creams,540.0,3.8,2.4,16.0,0.15,0.0590551181102362,0.0,0.2,0.4,3.25,0.0
en:canned-fruits,272.0,0.1,0.0,14.0,0.01,0.00393700787401575,68.5,57.75,1.0,0.5,59.0
en:fruit-sodas,143.0,0.0,0.0,8.2,0.002516,0.00099055118110236,12.0,12.0,0.0,0.0,12.0
en:sour-creams,1194.0,30.0,19.2,3.2,0.1,0.0393700787401575,0.0,0.0,0.0,2.4,0.0
en:vegetable-rods,87.0,0.3,0.07,1.1,0.79,0.311023622047244,100.0,100.0,2.0,1.7,100.0
fr:jambons-crus,999.5,14.0,5.3,0.5,5.18,2.03937007874016,,,0.0,28.45,
en:chocolate-cereals,1728.0,9.9,3.1,25.55,0.49,0.192913385826772,0.0,0.5,6.0,8.0,0.0
en:canned-tunas,531.0,4.5,0.8,0.0,1.01,0.397637795275591,0.0,6.8,0.0,25.0,3.4
en:flavoured-yogurts,385.0,3.0,1.9,12.0,0.11,0.0433070866141732,1.1,0.0,0.0,3.4,0.0
en:labeled-cheeses,1508.5,30.0,20.0,0.5,1.2,0.47244094488189003,,,0.0,24.0,
en:french-beers,0.0,0.0,0.0,0.02,0.02,0.007874015748031475,,,4.0,0.4,
en:whole-milk-yogurts,390.0,3.3,2.1,12.0,0.1016,0.04,10.0,9.0,0.0,3.5,9.05
en:pasta-sauces,384.0,4.7,1.45,4.9,1.22,0.48031496062992096,72.0,73.0,1.8,3.8,73.0
en:stretched-curd-cheeses,1033.0,19.0,13.0,1.0,0.6,0.23622047244094502,,,0.0,17.0,
en:zwieback,1640.5,6.0,0.98,6.0,1.2,0.47244094488189003,0.0,0.0,4.5,11.2,0.0
en:oilseed-purees,2577.0,50.5,8.2,5.7,0.3075,0.12106299212598401,100.0,99.5,6.75,24.05,99.5
fr:charcuteries-diverses,1134.0,22.0,8.6,0.7,1.9,0.748031496062992,,10.0,0.0,16.0,10.0
fr:charcuteries-cuites,533.0,4.85,1.95,0.7,1.9,0.748031496062992,0.0,7.0,0.5,19.0,3.5
en:squeezed-apple-juices,192.0,0.0,0.0,11.0,0.01524,0.006,100.0,100.0,0.0,0.0,100.0
en:aromatic-plants,0.0,0.6,0.1,0.2,0.04,0.015748031496063,,,3.7,2.0,
en:fresh-pasta,1095.0,5.0,1.9,1.8,1.0,0.393700787401575,5.0,14.0,2.4,10.0,13.5
en:cream-soups,159.0,1.5,0.5,1.8,0.69,0.271653543307087,40.0,41.0,1.0,0.8,40.0
en:hard-liquors,0.0,0.0,0.0,0.1,0.0,0.0,,,0.0,0.0055,
en:aoc-cheeses,1536.0,30.0,20.0,0.5,1.2,0.47244094488189003,,,0.0,25.0,
en:cocoa-and-hazelnuts-spreads,2272.0,32.0,8.2,51.0,0.1,0.0393700787401575,28.0,15.0,3.6,6.3,15.5
en:puffed-cereal-cakes,1632.0,3.5,0.8,1.3,0.28,0.110236220472441,14.0,14.0,3.5,7.7,14.0
en:stirred-yogurts,399.0,3.1,2.0,12.7,0.1,0.0393700787401575,9.1,8.2,0.1,3.6,8.28
en:uncooked-pressed-cheeses,1427.0,28.0,18.85,0.5,1.7,0.669291338582677,0.0,0.0,0.0,23.1,0.0
en:coffee-capsules,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr:pizzas-tartes-salees-et-quiches,977.5,9.1,4.4,3.0,1.24,0.48818897637795294,14.6,15.0,2.0,9.9,15.0
en:squeezed-orange-juices,182.0,0.05,0.0,9.0,0.0,0.0,100.0,100.0,0.4,0.7,100.0
en:apricot-jams,971.0,0.12,0.01,53.349999999999994,0.015,0.00590551181102362,50.0,55.0,1.0,0.5,55.0
en:nut-butters,2564.0,50.0,8.0,5.9,0.4,0.15748031496063,100.0,99.4,6.6,24.0,99.5
en:emmentaler,1544.0,29.0,19.5,0.1,0.7,0.275590551181102,0.0,0.0,0.0,27.0,0.0
en:sardines-in-oil,954.0,15.0,3.5,0.0,1.0,0.393700787401575,3.25,6.5,0.0,22.0,6.5
en:vinegars,404.0,0.0,0.0,15.0,0.04,0.015748031496063,0.0,0.0,0.0,0.35,0.0
en:broths,615.0,2.1500000000000004,0.4,2.6,15.4,6.06299212598425,13.2,9.1,0.7,2.8,9.1
en:cheese-spreads,1032.0,23.0,16.0,3.0,1.2,0.47244094488189003,3.0,3.0,0.0,8.0,3.0
en:cereal-flours,1446.5,1.3,0.2,1.2,0.01,0.00393700787401575,0.0,0.0,4.0,10.25,0.0
en:fish-rillettes,945.5,18.0,3.8,0.9,1.01,0.397637795275591,,4.0,0.7,14.0,4.0
en:fruits-in-syrup,277.0,0.1,0.0,14.5,0.01,0.00393700787401575,68.5,57.5,1.0,0.5,58.0
en:drinkable-yogurts,305.0,1.4,0.9,11.5,0.1,0.0393700787401575,3.65,5.0,0.1,2.8,5.0
en:sheep-cheeses,1278.0,26.3,18.335,0.3,2.4,0.9448818897637801,0.0,0.0,0.0,17.8,0.0
en:sweet-cream-butters,3109.0,82.0,55.0,0.6,0.04,0.015748031496063,0.0,0.0,0.0,0.7,0.0
en:dehydrated-soups,307.5,2.4,0.6,1.8,0.9,0.3543307086614171,41.0,35.0,0.6,1.66,35.0
en:lentils,1283.0,1.47,0.2,1.1,0.03,0.0118110236220472,76.5,76.5,11.0,24.0,76.5
fr:pommes-de-terre-prefrites-surgelees,665.0,5.2,0.7,0.5,0.4,0.15748031496063,0.0,3.0,2.5,2.5,0.0
en:non-dairy-desserts,357.5,2.1,0.4,10.4,0.1,0.0393700787401575,10.0,10.0,1.0,3.4,10.0
en:fresh-meats,668.5,12.0,3.9,0.030000000000000002,0.24,0.09448818897637801,0.0,0.665,0.0,19.0,0.0
fr:eaux-de-vie,0.0,0.0,0.005,0.1,0.0,0.0,,,0.165,0.505,
en:natural-mineral-waters,0.0,0.0,0.0,0.0,0.0027686,0.00109,0.0,0.0,0.0,0.0,0.0
en:christmas-sweets,2039.0,26.35,3.5,46.96,0.0299999999999999,0.0118110236220472,33.0,33.0,3.6,8.0,33.0
en:salad-dressings,1214.0,27.799999999999997,3.0,3.4,2.0,0.78740157480315,0.0,2.75,0.3,0.5,0.75
en:mozzarella,1033.0,19.0,13.0,1.0,0.6,0.23622047244094502,,,0.0,17.0,
en:cream-of-vegetable-soups,155.0,1.5,0.5,1.9,0.68,0.26771653543307106,40.0,42.0,1.0,0.8,41.0
en:crepes,1139.0,8.2,2.7,18.0,1.0,0.393700787401575,,16.0,1.6,6.7,16.0
fr:biscuits-aperitifs-souffles,2042.0,23.9,2.8,3.0,2.0149999999999997,0.7933070866141729,0.0,15.5,2.7,6.7,0.0
en:green-olives,619.0,15.4,2.6,0.1,3.5,1.3779527559055098,90.0,92.7,3.4,1.2,91.35
en:white-wines,0.0,0.0,0.0,0.4,0.0,0.0,,,0.0,0.0,
en:aromatic-herbs,0.0,0.6,0.1,0.36,0.035,0.0137795275590551,,,3.9,2.7,
en:chocolate-molds,2294.5,33.5,20.2,53.0,0.18,0.0708661417322835,0.0,0.0,1.8,6.3,0.0
en:potted-meats,1619.5,35.45,12.0,0.3,1.2,0.47244094488189003,,24.0,0.0,16.0,24.0
en:french-sausages,1142.0,23.9,9.120000000000001,0.9,1.9,0.748031496062992,0.0,0.0,0.4,14.0,0.0
en:camemberts,1163.0,22.0,15.0,0.4,1.6,0.62992125984252,,,0.0,20.0,
en:frozen-meats,870.0,15.0,6.19,0.2,0.267,0.1051181102362205,4.8,8.0,0.1,18.0,6.4
en:milk-chocolate-biscuits,2100.0,24.0,14.0,35.2,0.56,0.220472440944882,0.0,3.17,2.5300000000000002,6.7,0.9
en:diet-beverages,3.0,0.0,0.0,0.0,0.01,0.00393700787401575,16.0,14.0,0.0,0.0,14.0
en:canned-common-beans,355.0,0.6,0.1,0.7,0.77,0.303149606299213,100.0,82.5,5.3,5.4,100.0
en:grated-cheese,1548.0,29.0,19.0,0.1,0.9,0.3543307086614171,0.0,0.0,0.0,27.0,0.0
fr:produits-labellises,1377.0,24.0,16.55,0.5,0.9,0.3543307086614171,,57.5,0.0,20.0,57.5
en:pastry-helpers,1602.0,4.9,2.4,38.0,0.2,0.078740157480315,0.0,22.0,1.7,4.1,20.0
en:bordeaux,0.0,7.5,1.0,1.0,1.0,0.393700787401575,,,0.0,1.0,
en:puddings,556.0,3.48,2.2,13.8,0.15,0.0590551181102362,0.0,1.95,0.5,3.1,0.0
en:main-meals-for-babies,272.0,2.0,0.4,1.7,0.18796,0.07400000000000001,46.75,43.0,1.5,2.6,44.5
en:smoked-salmons-from-farming,795.0,11.0,2.2,0.5,2.9999999999999907,1.1811023622047199,0.0,0.0,0.0,22.0,0.0
en:vegetable-pickles,109.0,0.2,0.1,1.7,1.6256,0.64,75.0,64.0,1.8,1.0,75.0
en:starters,573.0,9.0,0.905,3.1,0.9853000000000001,0.3879133858267715,69.5,71.0,2.0,4.5,70.0
en:snacks-and-desserts-for-babies,274.5,0.5,0.1,10.2,0.05,0.0196850393700787,99.9,99.45,1.5,0.667,99.9
en:chocolate-cookies,2094.0,25.25,13.0,33.0,0.6599999999999995,0.25984251968503896,,8.4,3.4299999999999997,6.0,8.4
en:sliced-cheeses,1439.0,28.0,18.0,0.45,1.7,0.669291338582677,0.0,0.0,0.0,23.6,0.0
en:tomatoes,96.0,0.3,0.05,3.9,0.38,0.14960629921259802,99.4,99.3,1.3,1.3,99.4
en:legume-milks,200.0,1.89,0.3,3.6500000000000004,0.1,0.0393700787401575,0.0,7.0,0.5,3.25,5.95
en:soy-milks,200.0,1.89,0.3,3.6500000000000004,0.1,0.0393700787401575,0.0,7.0,0.5,3.25,5.95
en:chocolate-powders,1586.0,3.5,2.0,67.0,0.11,0.0433070866141732,,,6.5,6.0,
en:margarines,2075.0,58.0,15.0,0.2,0.41,0.161417322834646,0.0,0.0,0.0,0.1,0.0
en:toasts,1652.0,6.8,1.0,4.9,1.21,0.478,,,5.0,10.4,
en:half-salted-butter,3033.0,80.0,55.0,0.6,2.0,0.78740157480315,0.0,0.0,0.0,0.7,0.0
en:mueslis-with-fruits,1654.0,10.65,2.0,20.0,0.1,0.0393700787401575,25.0,15.0,7.8,9.0,18.0
en:bodybuilding-supplements,1563.0,10.0,4.5,6.0,0.4,0.15748031496063,,7.550000000000001,4.7,33.0,7.550000000000001
en:cooked-chicken,849.0,10.5,2.3,1.0,1.2,0.47244094488189003,,32.5,1.0,15.0,32.5
en:gingerbreads,1397.0,2.3,0.5,41.0,0.43,0.16929133858267698,,11.0,3.2,4.5,11.0
en:from-6-months,267.0,1.3,0.2,8.8,0.05,0.0196850393700787,99.9,59.0,1.5,1.9,60.0
en:chewing-gum,700.0,0.2,0.0,0.0,0.01,0.00393700787401575,0.0,0.0,0.0,0.0,0.0
fr:gateaux-et-patisseries-surgeles,1464.0,18.0,9.2,25.0,0.22,0.0866141732283465,71.2,23.65,2.1,5.4,24.3
en:crustaceans,372.0,0.8,0.3,0.2,1.4,0.551181102362205,0.0,0.0,0.001,18.0,0.0
en:mixed-fruit-jams,951.0,0.2,0.02,54.0,0.01,0.00393700787401575,55.0,59.0,1.5,0.5,57.5
en:berries,0.0,0.5,0.1,8.8,0.0100038,0.003938503937007875,100.0,60.0,4.25,0.8,80.0
en:dried-hams,996.0,13.1,5.0,0.5,5.2,2.04724409448819,,,0.0,29.4,
en:chocolates-with-hazelnuts,2374.5,39.0,17.0,42.0,0.165,0.0649606299212598,21.5,20.0,3.5,8.2,20.0
en:baby-milks,285.0,3.2,1.3,6.5,0.0762,0.03,,,0.1,1.9,
en:diet-sodas,2.0,0.0,0.0,0.0,0.01,0.00393700787401575,2.5,9.5,0.0,0.0,5.0
en:mackerels,883.0,15.4,3.4,0.5,1.0,0.393700787401575,0.0,6.8,0.4,14.0,3.6
en:popcorn,1887.0,21.54,7.07,0.0,1.8872200000000001,0.743,0.0,0.0,10.0,7.32,0.0
en:white-chocolates,2364.0,36.0,21.6,52.2,0.25327,0.09971259842519685,12.5,13.0,0.1,6.5,13.0
en:spaghetti,1490.0,1.8,0.35,3.2,0.0127,0.005,,,3.4,12.0,
en:gratins,517.0,6.5,3.7,1.8,0.7055199999999999,0.277763779527559,51.65,34.45,1.6,4.4,38.55
en:ground-coffees,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
en:instant-noodles,1000.0,10.3,4.2,1.9,2.3,0.905511811023622,,,2.1,7.2,
fr:saucissons-secs,1727.0,33.0,13.0,1.36,4.7,1.8503937007874,0.0,8.7,0.0,27.0,4.35
en:lemonades,138.0,0.0,0.0,8.0,0.01,0.00393700787401575,7.0,8.0,0.0,0.0,8.0
en:whole-milks,269.0,3.6,2.3,4.8,0.1143,0.045,,,0.0,3.3,
en:black-teas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
en:legume-butters,2548.0,50.0,8.7,6.2,0.62,0.244094488188976,94.0,98.25,6.5,25.0,97.5
en:peanut-butters,2540.0,50.0,8.7,6.2,0.616,0.242,94.0,98.25,6.5,25.0,97.5
en:steaks,824.0,15.0,5.9,0.0,0.2,0.078740157480315,0.0,0.0,0.0,19.0,0.0
en:leaf-salads,75.0,0.4,0.1,0.9,0.13,0.0511811023622047,100.0,81.0,1.9,1.8,92.5
fr:tuiles-salees,2125.0,31.0,3.4,3.4,1.5,0.590551181102362,,,2.8,4.3149999999999995,
en:green-teas,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,
en:tapenades,1054.0,25.0,3.4,0.4,3.295,1.29724409448819,79.0,76.5,3.4,1.7,76.5
en:products-without-gluten,1330.0,3.25,0.72,1.8,0.675,0.265748031496063,0.0,13.0,3.3,6.5,0.0
en:ground-steaks,824.0,15.0,5.9,0.0,0.2,0.078740157480315,0.0,0.0,0.0,19.0,0.0
en:breaded-fish,795.0,8.2,0.9,1.1,0.8,0.31496062992126,0.0,2.5,0.9,12.0,0.0
fr:allumettes-de-porc,1050.0,20.0,7.8,0.6,2.5,0.9842519685039369,0.0,0.0,0.1,17.0,0.0
en:energy-drinks,183.0,0.0,0.0,9.9,0.11800000000000001,0.0464,3.2,2.6,0.0,0.0,3.2
en:beef-steaks,820.0,15.0,5.9,0.0,0.2,0.078740157480315,0.0,0.0,0.0,19.1,0.0
en:processed-cheese,682.0,12.0,7.5,0.5,1.6,0.62992125984252,0.0,0.0,0.0,14.0,0.0
fr:brownies,1929.0,26.0,8.2,34.0,0.39,0.153543307086614,50.0,5.2,3.3,5.8,5.5
fr:bloc-de-foie-gras,2019.0,50.0,21.5,1.4,1.14,0.448818897637795,0.0,0.0,0.5,6.1,0.0
en:flaky-biscuits,2180.0,28.0,16.0,20.0,1.1,0.433070866141732,0.0,2.5,2.1,6.2,0.0
en:onions-and-their-products,95.0,0.5,0.1,6.4,0.85,0.334645669291339,56.2,64.5,1.75,1.2,64.0
en:aromatic-rices,1473.0,0.8,0.2,0.2,0.01,0.00393700787401575,,,1.4,7.5,
en:cereal-semolinas,1490.0,1.9,0.35,2.5,0.01,0.00393700787401575,0.0,0.0,3.6,12.0,0.0
en:filled-chocolates,2294.0,34.0,17.0,47.5,0.11,0.0433070866141732,14.0,11.0,3.5,6.1,11.0
en:wheat-flours,1443.0,1.2,0.2,1.4,0.01,0.00393700787401575,0.0,0.0,4.0,10.3,0.0
en:ground-beef-steaks,824.0,15.0,5.9,0.0,0.2,0.078740157480315,0.0,0.0,0.0,19.0,0.0
en:mushrooms,79.0,0.5,0.1,0.5,0.610000000000001,0.24015748031496104,100.0,100.0,2.1,2.2,100.0
en:citrus-jams,958.0,0.12,0.0,54.0,0.01,0.00393700787401575,55.0,55.0,1.0,0.5,55.0
en:almonds,2570.0,53.0,4.3,4.3,0.02,0.0078740157480315,100.0,100.0,9.6,22.15,100.0
en:hamburger-buns,1167.0,4.12,0.5,6.4,1.15062,0.45299999999999996,,,2.4,9.09,
en:cereal-milks,213.0,1.1,0.2,5.5,0.1,0.0393700787401575,,2.65,0.5,0.5,2.65
en:tropical-fruits,0.0,2.1,0.4,7.4,0.04,0.015748031496063,100.0,100.0,3.1,1.8,100.0
en:wafers,2169.0,27.0,16.9,36.0,0.3,0.118110236220472,,9.1,2.3,5.9,9.1
en:bilberries-jams,989.5,0.2,0.02,55.0,0.01,0.00393700787401575,52.5,55.0,1.6,0.4,55.0
fr:foies-gras-entiers,2234.0,55.0,23.0,1.0,1.2,0.47244094488189003,,,0.0,7.5,
en:raspberry-jams,983.0,0.2,0.01,53.0,0.019,0.00748031496062992,55.0,55.0,2.6,0.7,55.0
en:food-additives,984.5,0.0,0.0,1.0,0.02,0.0078740157480315,0.0,49.5,0.0,0.0,0.0
en:easter-chocolates,2293.0,33.2,20.0,53.0,0.19,0.0748031496062992,0.0,0.0,1.8,6.4,0.0
en:indica-rices,1473.0,0.8,0.2,0.2,0.01,0.00393700787401575,,,1.4,7.6,
en:meat-preparations,883.0,15.0,6.6,0.6,1.07,0.421259842519685,0.0,8.0,1.2,14.6,4.0
en:mackerels-fillets,856.0,15.1,3.3,0.5,1.0,0.393700787401575,0.0,6.8,0.4,14.0,3.6
en:turkeys,456.0,2.0,0.7,0.9,1.8,0.708661417322835,0.0,0.0,0.5,21.0,0.0
en:instant-coffees,0.0,0.2,0.0,1.5,0.011503800000000002,0.004529055118110236,0.0,0.0,3.05,2.4,0.0
en:sheep-milk-yogurts,435.0,5.4,3.4,8.4,0.1,0.0393700787401575,0.0,8.06,0.0,5.0,8.030000000000001
en:sandwiches-filled-with-cold-cuts,1044.5,11.0,3.6,2.9,1.5,0.590551181102362,15.0,13.8,2.4,11.0,13.8
en:frozen-fishes,406.5,1.5,0.5,0.2,0.3,0.118110236220472,0.0,5.75,0.5,17.0,0.0
en:sunflower-seeds-and-their-products,3404.0,92.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
en:compotes-to-drink,268.0,0.4,0.08,13.0,0.0055,0.00216535433070866,97.0,98.0,1.7,0.42200000000000004,98.0
en:seasonings,1013.0,2.6,0.5,6.2,13.2,5.19685039370079,0.0,0.0,3.3,5.7,0.0
fr:fruits-a-coque-sales,2552.0,49.5,7.5,5.9,1.0,0.393700787401575,66.5,94.0,7.9,24.5,94.0
en:peanuts,2530.0,49.5,7.1,5.6,1.0,0.393700787401575,85.0,96.0,7.9,25.85,96.0
en:lardons,1059.0,20.0,7.9,0.7,2.53,0.996062992125984,0.0,0.0,0.1,17.0,0.0
en:dehydrated-broths,830.5,4.2,0.7,3.7,22.3012,8.78,5.4,8.75,0.9,5.25,8.5
en:salts,0.0,0.0,0.0,0.0,99.0,38.9763779527559,0.0,0.0,0.0,0.0,0.0
en:cod-brandade,653.0,9.6,2.03,0.6,0.9,0.3543307086614171,,,1.0,6.8,
en:pet-food,1611.0,21.0,10.6,2.0,1.0,0.393700787401575,,,1.5,6.0,
en:pie-dough,1611.0,21.0,10.6,2.0,1.0,0.393700787401575,,,1.5,6.0,
en:simple-syrups,1297.0,0.0,0.0,73.0,0.0206,0.00810200787401575,,11.0,0.0,0.0,11.0
en:canned-green-beans,100.0,0.2,0.0,0.8,0.7,0.275590551181102,90.0,90.0,2.8,1.6,90.0
en:puffed-rice-cakes,1661.0,3.6,1.0,2.7,0.15,0.0590551181102362,,12.05,3.4,7.5,12.05
en:prepared-lasagne,551.0,5.9,2.5,2.6,0.78,0.307086614173228,12.7,19.7,1.4,6.0,19.35
en:chocolates-with-almonds,2315.0,37.0,17.8,39.0,0.07,0.0275590551181102,17.5,14.0,7.0,8.8,14.0
en:duck-dishes,989.5,15.2,5.65,0.7,1.0,0.393700787401575,46.0,15.5,1.0,12.7,21.75
en:white-meat-rillettes,1469.0,31.0,10.0,0.3,1.2,0.47244094488189003,,24.0,0.0,16.0,24.0
en:ice-cream-bars,1289.0,19.0,13.0,27.0,0.127,0.05,,9.2,0.8,3.18,9.2
fr:rillettes-de-volaille,1469.0,31.0,10.0,0.3,1.2,0.47244094488189003,,24.0,0.0,16.0,24.0
en:pickled-cucumbers,77.5,0.2,0.0,1.9,1.63,0.641732283464567,75.0,69.5,1.8,1.0,75.0
en:sardines-in-olive-oil,954.0,15.0,3.51,0.0,1.0,0.393700787401575,,,0.0,22.0,
en:products-with-reduced-salt,482.0,2.9,1.0,0.7,1.4,0.551181102362205,0.0,0.0,0.5,21.0,0.0
en:flavored-teas,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr:aliments-a-base-de-plantes-seches,1230.0,0.8,0.22,40.0,0.05,0.0196850393700787,100.0,100.0,6.6,2.9,100.0
en:sparkling-wines,0.0,0.0,0.0,1.4,0.0,0.0,,,0.0,0.3,
en:canned-mushrooms,79.0,0.4,0.1,0.3,0.7,0.275590551181102,,57.0,2.2,2.2,57.0
fr:palmiers,2180.0,28.0,16.0,20.0,1.1,0.433070866141732,,5.0,2.0,6.1,5.0
en:soy-desserts,347.0,2.1,0.3,10.8,0.1,0.0393700787401575,10.0,10.0,1.0,3.6,10.0
en:rose-wines,0.0,0.5,0.0,0.0,0.0,0.0,,,0.0,9.0,
fr:petits-beurres,1899.0,14.0,9.0,23.0,0.94,0.37007874015748,,,2.55,7.5,
en:vinaigrettes,1310.0,32.0,3.2,2.1,2.0,0.78740157480315,0.0,1.5,0.3,0.5,0.0
en:blue-veined-cheeses,1494.0,31.0,21.715,0.0,2.6,1.02362204724409,0.0,0.0,0.0,19.0,0.0
en:surimi,489.0,4.5,0.5,3.0,1.8,0.708661417322835,,,0.5,7.5,
fr:cereales-preparees,703.0,3.585,0.6,1.2,0.8,0.31498031496063,9.5,9.5,2.4,4.67,9.5
en:gherkins,76.0,0.2,0.02,1.7,1.63,0.641732283464567,75.0,69.5,1.9,1.0,75.0
en:canned-tomatoes,97.0,0.3,0.0,3.0,0.13,0.0511811023622047,79.7,87.0,1.1,1.2,87.0
en:vegetable-based-foods-and-beverages,96.0,0.1,0.0,4.1,0.3,0.118110236220472,99.0,99.0,0.5,0.7,99.0
en:shrimps,374.0,0.8,0.3,0.1,1.6,0.62992125984252,0.0,0.0,0.0,19.0,0.0
en:fries,665.0,5.0,0.6,0.5,0.265,0.104330708661417,,86.0,2.6,2.5,86.0
en:nut-confectioneries,1843.0,15.0,2.0,49.85,0.050038,0.0197,15.0,44.7,3.5,4.2,25.0
en:wheat-semolinas,1494.0,1.9,0.4,2.8,0.01,0.00393700787401575,0.0,0.0,3.6,12.0,0.0
en:ciders,0.0,0.25,0.05,1.4700000000000002,0.0,0.0,,,0.0,0.0,
en:soft-cheeses-with-washed-rind,1259.0,24.6,17.0,0.5,1.6,0.62992125984252,,,0.0,20.0,
en:greek-yogurts,510.0,8.0,5.2,5.3,0.1,0.0393700787401575,0.0,7.0,0.05,3.7,7.0
en:mueslis-with-chocolate,1887.0,17.0,5.3,20.5,0.27,0.10629921259842534,0.0,4.5,7.2,8.6,4.0
en:canned-peas,264.0,0.5,0.1,3.7,0.6,0.23622047244094502,80.0,80.0,4.2,3.4,80.0
fr:miels-de-fleurs,1339.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0
en:fruit-jellies,1029.0,0.2,0.0,59.0,0.01,0.00393700787401575,20.0,50.0,0.8500000000000001,0.4,50.0
en:free-range-eggs,602.0,10.0,2.7,0.7,0.3,0.118110236220472,0.0,0.0,0.0,12.3,0.0
en:dark-chocolate-biscuits,2088.0,23.674999999999997,14.0,32.0,0.5,0.19685039370078697,0.0,7.5,4.0,6.9,3.75
en:salted-pies,1016.0,13.0,6.5,2.9,1.1,0.433070866141732,7.3,18.93,1.5,7.1,18.23
en:pestos,1669.0,38.3,5.2,3.1500000000000004,2.4050000000000002,0.9468503937007875,0.0,0.0,2.0,4.1,0.0
en:hummus,1150.0,22.35,2.6,0.8,1.04,0.40944881889763796,0.0,46.0,5.35,6.6,20.0
en:shelled-nuts,2638.0,55.0,4.5,4.0,0.01,0.00393700787401575,100.0,100.0,8.8,19.4,100.0
en:crispbreads,1577.0,2.7,0.6,2.9,1.1,0.433070866141732,2.5,2.5,6.0,10.0,2.5
en:ground-meat-preparations,879.0,15.0,6.5,0.5,0.95,0.374015748031496,0.0,8.0,1.2,15.0,4.0
