,energy_100g,fat_100g,saturated-fat_100g,sugars_100g,salt_100g,sodium_100g,fruits-vegetables-nuts_100g,fruits-vegetables-nuts-estimate_100g,fiber_100g,proteins_100g,fruits-vegetables-nuts-filling-estimate
fr:coquilles-de-noel,1420.5,9.3,5.9,18.0,0.96,0.37795275590551203,,,,8.25,
en:apple-juice-and-soy-drinks,174.0,0.5,0.1,8.5,0.02,0.0078740157480315,,,0.35,0.5,
en:white-chocolates-with-sweeteners,2290.5,38.55,22.5,8.9,0.30000000000000004,0.11811023622047251,,8.0,1.5,7.3,8.0
en:muscovado,1630.0,0.25,0.01,97.2,0.01,0.00393700787401575,0.0,0.0,0.5,0.25,0.0
fr:nectars-de-citron,201.0,0.4,0.1,10.75,0.01,0.00393700787401575,35.0,29.0,,0.2,29.0
fr:sorbets-edulcores,274.0,0.01,0.0,1.8275000000000001,0.0,0.0,,37.0,0.586,0.21800000000000003,37.0
fr:creme-de-coco,901.5,22.5,16.5,2.45,0.05,0.0196850393700787,,,0.5,2.0,
fr:radiatori,1468.5,1.55,0.35,2.75,0.02999999999999995,0.0118110236220472,,,2.95,11.5,
fr:mozzarella-de-bufflonne,1171.5,23.85,15.8,0.75,0.75,0.295275590551181,,,0.0,15.0,
ro:ciocolata,1941.0,27.0,17.0,54.0,0.14,0.0551181102362205,,,1.0,4.2,
en:fruit-bar,1655.0,14.95,2.8499999999999996,37.45,0.07499999999999996,0.0295275590551181,,,6.6,10.05,
de:pains-speciaux,1081.5,12.3,1.4,2.3499999999999996,1.35,0.531496062992126,,,13.149999999999999,19.549999999999997,
de:backmittel,1375.5,0.05,0.0,2.25,0.515,0.2027559055118111,,,,0.2,
de:gotterspeise,255.5,0.0,0.0,14.05,0.0,0.0,,,,1.35,
de:mueslis-croustillants,1868.5,15.5,4.7,20.85,0.495,0.1948818897637795,,6.0,6.15,9.3,6.0
de:bonbons-de-chocolat,2324.0,35.65,18.4,45.1,0.14500000000000002,0.05708661417322835,0.0,0.0,1.0,7.550000000000001,0.0
de:malzkaffee,1438.5,0.2,0.1,20.0,0.2,0.078740157480315,,,6.3,4.699999999999999,
en:medicinal-waters,0.0,,,,0.132587,0.05225,,,,,
fr:pils,0.0,0.005,0.005,0.05,0.005,0.001968503937007875,,,,0.185,
de:mate,96.0,0.02,0.0,4.65,0.04,0.015748031496063,,,,0.15,
en:sekt,0.0,,,,,,,,,,
en:alkoholische-getranke,0.0,,,,,,,,,,
de:barres-aux-fruits,1579.0,12.05,1.6,46.0,0.04,0.01574803149606295,,,7.25,6.449999999999999,
de:complements-alimentaires,1489.5,8.15,3.95,2.0999999999999996,0.38999999999999946,0.153543307086614,,4.6,5.8,26.35,4.6
de:complements-pour-le-bodybuilding,1554.5,8.15,4.05,4.05,0.38999999999999946,0.153543307086614,,4.6,5.8,49.25,4.6
de:fruit-sauces,244.5,0.45,0.1,11.5,0.01,0.00393700787401575,,,4.1,0.5,
en:complements-pour-le-bodybuilding,1565.0,8.7,3.4,10.4,0.14999999999999947,0.059055118110236,,,1.45,33.5,
de:nuss-nugat-creme,2284.0,31.8,11.0,55.9,0.102,0.0401574803149606,,,3.6,6.6,
en:musliriegel,1911.0,20.9,13.2,29.1,0.5159,0.20311023622047253,,,6.5,6.8,
